PassengerId,Survived,Pclass,Age
1,0,3,22
2,1,1,38
3,1,3,26
4,1,1,35
5,0,3,35
6,0,3,
7,0,1,54
8,0,3,2
9,1,3,27
10,1,2,14
11,1,3,4
12,1,1,58
13,0,3,20
14,0,3,39
15,0,3,14
16,1,2,55
17,0,3,2
18,1,2,
19,0,3,31
20,1,3,
21,0,2,35
22,1,2,34
23,1,3,15
24,1,1,28
25,0,3,8
26,1,3,38
27,0,3,
28,0,1,19
29,1,3,
30,0,3,
31,0,1,40
32,1,1,
33,1,3,
34,0,2,66
35,0,1,28
36,0,1,42
37,1,3,
38,0,3,21
39,0,3,18
40,1,3,14
41,0,3,40
42,0,2,27
43,0,3,
44,1,2,3
45,1,3,19
46,0,3,
47,0,3,
48,1,3,
49,0,3,
50,0,3,18
51,0,3,7
52,0,3,21
53,1,1,49
54,1,2,29
55,0,1,65
56,1,1,
57,1,2,21
58,0,3,28.5
59,1,2,5
60,0,3,11
61,0,3,22
62,1,1,38
63,0,1,45
64,0,3,4
65,0,1,
66,1,3,
67,1,2,29
68,0,3,19
69,1,3,17
70,0,3,26
71,0,2,32
72,0,3,16
73,0,2,21
74,0,3,26
75,1,3,32
76,0,3,25
77,0,3,
78,0,3,
79,1,2,
80,1,3,30
81,0,3,22
82,1,3,29
83,1,3,
84,0,1,28
85,1,2,17
86,1,3,33
87,0,3,16
88,0,3,
89,1,1,23
90,0,3,24
91,0,3,29
92,0,3,20
93,0,1,46
94,0,3,26
95,0,3,59
96,0,3,
97,0,1,71
98,1,1,23
99,1,2,34
100,0,2,34
101,0,3,28
102,0,3,
103,0,1,21
104,0,3,33
105,0,3,37
106,0,3,28
107,1,3,21
108,1,3,
109,0,3,38
110,1,3,
111,0,1,47
112,0,3,14.5
113,0,3,22
114,0,3,20
115,0,3,17
116,0,3,21
117,0,3,70.5
118,0,2,29
119,0,1,24
120,0,3,2
121,0,2,21
122,0,3,
123,0,2,32.5
124,1,2,32.5
125,0,1,54
126,1,3,12
127,0,3,
128,1,3,24
129,1,3,
130,0,3,45
131,0,3,33
132,0,3,20
133,0,3,47
134,1,2,29
135,0,2,25
136,0,2,23
137,1,1,19
138,0,1,37
139,0,3,16
140,0,1,24
141,0,3,
142,1,3,22
143,1,3,24
144,0,3,19
145,0,2,18
146,0,2,19
147,1,3,27
148,0,3,9
149,0,2,36.5
150,0,2,42
151,0,2,51
152,1,1,22
153,0,3,55.5
154,0,3,40.5
155,0,3,
156,0,1,51
157,1,3,16
158,0,3,30
159,0,3,
160,0,3,
161,0,3,44
162,1,2,40
163,0,3,26
164,0,3,17
165,0,3,1
166,1,3,9
167,1,1,
168,0,3,45
169,0,1,
170,0,3,28
171,0,1,61
172,0,3,4
173,1,3,1
174,0,3,21
175,0,1,56
176,0,3,18
177,0,3,
178,0,1,50
179,0,2,30
180,0,3,36
181,0,3,
182,0,2,
183,0,3,9
184,1,2,1
185,1,3,4
186,0,1,
187,1,3,
188,1,1,45
189,0,3,40
190,0,3,36
191,1,2,32
192,0,2,19
193,1,3,19
194,1,2,3
195,1,1,44
196,1,1,58
197,0,3,
198,0,3,42
199,1,3,
200,0,2,24
201,0,3,28
202,0,3,
203,0,3,34
204,0,3,45.5
205,1,3,18
206,0,3,2
207,0,3,32
208,1,3,26
209,1,3,16
210,1,1,40
211,0,3,24
212,1,2,35
213,0,3,22
214,0,2,30
215,0,3,
216,1,1,31
217,1,3,27
218,0,2,42
219,1,1,32
220,0,2,30
221,1,3,16
222,0,2,27
223,0,3,51
224,0,3,
225,1,1,38
226,0,3,22
227,1,2,19
228,0,3,20.5
229,0,2,18
230,0,3,
231,1,1,35
232,0,3,29
233,0,2,59
234,1,3,5
235,0,2,24
236,0,3,
237,0,2,44
238,1,2,8
239,0,2,19
240,0,2,33
241,0,3,
242,1,3,
243,0,2,29
244,0,3,22
245,0,3,30
246,0,1,44
247,0,3,25
248,1,2,24
249,1,1,37
250,0,2,54
251,0,3,
252,0,3,29
253,0,1,62
254,0,3,30
255,0,3,41
256,1,3,29
257,1,1,
258,1,1,30
259,1,1,35
260,1,2,50
261,0,3,
262,1,3,3
263,0,1,52
264,0,1,40
265,0,3,
266,0,2,36
267,0,3,16
268,1,3,25
269,1,1,58
270,1,1,35
271,0,1,
272,1,3,25
273,1,2,41
274,0,1,37
275,1,3,
276,1,1,63
277,0,3,45
278,0,2,
279,0,3,7
280,1,3,35
281,0,3,65
282,0,3,28
283,0,3,16
284,1,3,19
285,0,1,
286,0,3,33
287,1,3,30
288,0,3,22
289,1,2,42
290,1,3,22
291,1,1,26
292,1,1,19
293,0,2,36
294,0,3,24
295,0,3,24
296,0,1,
297,0,3,23.5
298,0,1,2
299,1,1,
300,1,1,50
301,1,3,
302,1,3,
303,0,3,19
304,1,2,
305,0,3,
306,1,1,0.92
307,1,1,
308,1,1,17
309,0,2,30
310,1,1,30
311,1,1,24
312,1,1,18
313,0,2,26
314,0,3,28
315,0,2,43
316,1,3,26
317,1,2,24
318,0,2,54
319,1,1,31
320,1,1,40
321,0,3,22
322,0,3,27
323,1,2,30
324,1,2,22
325,0,3,
326,1,1,36
327,0,3,61
328,1,2,36
329,1,3,31
330,1,1,16
331,1,3,
332,0,1,45.5
333,0,1,38
334,0,3,16
335,1,1,
336,0,3,
337,0,1,29
338,1,1,41
339,1,3,45
340,0,1,45
341,1,2,2
342,1,1,24
343,0,2,28
344,0,2,25
345,0,2,36
346,1,2,24
347,1,2,40
348,1,3,
349,1,3,3
350,0,3,42
351,0,3,23
352,0,1,
353,0,3,15
354,0,3,25
355,0,3,
356,0,3,28
357,1,1,22
358,0,2,38
359,1,3,
360,1,3,
361,0,3,40
362,0,2,29
363,0,3,45
364,0,3,35
365,0,3,
366,0,3,30
367,1,1,60
368,1,3,
369,1,3,
370,1,1,24
371,1,1,25
372,0,3,18
373,0,3,19
374,0,1,22
375,0,3,3
376,1,1,
377,1,3,22
378,0,1,27
379,0,3,20
380,0,3,19
381,1,1,42
382,1,3,1
383,0,3,32
384,1,1,35
385,0,3,
386,0,2,18
387,0,3,1
388,1,2,36
389,0,3,
390,1,2,17
391,1,1,36
392,1,3,21
393,0,3,28
394,1,1,23
395,1,3,24
396,0,3,22
397,0,3,31
398,0,2,46
399,0,2,23
400,1,2,28
401,1,3,39
402,0,3,26
403,0,3,21
404,0,3,28
405,0,3,20
406,0,2,34
407,0,3,51
408,1,2,3
409,0,3,21
410,0,3,
411,0,3,
412,0,3,
413,1,1,33
414,0,2,
415,1,3,44
416,0,3,
417,1,2,34
418,1,2,18
419,0,2,30
420,0,3,10
421,0,3,
422,0,3,21
423,0,3,29
424,0,3,28
425,0,3,18
426,0,3,
427,1,2,28
428,1,2,19
429,0,3,
430,1,3,32
431,1,1,28
432,1,3,
433,1,2,42
434,0,3,17
435,0,1,50
436,1,1,14
437,0,3,21
438,1,2,24
439,0,1,64
440,0,2,31
441,1,2,45
442,0,3,20
443,0,3,25
444,1,2,28
445,1,3,
446,1,1,4
447,1,2,13
448,1,1,34
449,1,3,5
450,1,1,52
451,0,2,36
452,0,3,
453,0,1,30
454,1,1,49
455,0,3,
456,1,3,29
457,0,1,65
458,1,1,
459,1,2,50
460,0,3,
461,1,1,48
462,0,3,34
463,0,1,47
464,0,2,48
465,0,3,
466,0,3,38
467,0,2,
468,0,1,56
469,0,3,
470,1,3,0.75
471,0,3,
472,0,3,38
473,1,2,33
474,1,2,23
475,0,3,22
476,0,1,
477,0,2,34
478,0,3,29
479,0,3,22
480,1,3,2
481,0,3,9
482,0,2,
483,0,3,50
484,1,3,63
485,1,1,25
486,0,3,
487,1,1,35
488,0,1,58
489,0,3,30
490,1,3,9
491,0,3,
492,0,3,21
493,0,1,55
494,0,1,71
495,0,3,21
496,0,3,
497,1,1,54
498,0,3,
499,0,1,25
500,0,3,24
